Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2017112945619,16-Nov-17,10/12/2017 0:00,BQK,Glynco Jetport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,In Review
2017122146211,21-Nov-17,8/22/2017 0:00,BQK,Glynco Jetport,-,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,In Review
2017041938671,27-Feb-17,2/12/2017 0:00,BQN,Rafael Hernandez,Jet Blue,Passenger Property Loss,Checkpoint,Clothing,-,In Review
2017100444006,13-Sep-17,8/23/2017 7:10,BRD,"Brainerd, MN",Delta Air Lines,Property Damage,Checked Baggage,Audio/Video,-,In Review
2017032338148,30-Jan-17,1/25/2017 16:30,BRW,Wiley Post/Will Rogers Memorial,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing,$34.99,Approve in Full
2017112545391,23-Oct-17,10/22/2017 0:00,BTM,Bert Mooney,Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,losed: Contractor Claim
2017121846052,1-Dec-17,11/19/2017 14:45,BTR,Baton Rouge Metropolitan,Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,Closed: Canceled
2017072541811,14-Jun-17,5/19/2017 0:00,BTR,Baton Rouge Metropolitan,-,Property Damage,Checked Baggage,Clothing,-,In Review
2017060840387,15-May-17,4/14/2017 10:00,BTR,Baton Rouge Metropolitan,UAL,Property Damage,Checked Baggage,Tools & Home Improvement Supplies,-,In Review
2017092943847,24-Aug-17,7/3/2017 0:00,BTR,Baton Rouge Metropolitan,UAL,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,In Review
2017050439221,8-Apr-17,3/13/2017 0:00,BTV,"Burlington, VT",Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,$33.90,Approve in Full
2017110244973,13-Oct-17,10/11/2017 14:00,BTV,"Burlington, VT",American Eagle,Passenger Property Loss,Checked Baggage,-,-,Closed: Canceled
